packages/native/npm/darwin-arm64         |  WARN  Unsupported platform: wanted: {"cpu":["arm64"],"os":["darwin"],"libc":["any"]} (current: {"os":"win32","cpu":"x64","libc":"unknown"})
packages/native/npm/darwin-x64           |  WARN  Unsupported platform: wanted: {"cpu":["x64"],"os":["darwin"],"libc":["any"]} (current: {"os":"win32","cpu":"x64","libc":"unknown"})
packages/native/npm/linux-arm64-gnu      |  WARN  Unsupported platform: wanted: {"cpu":["arm64"],"os":["linux"],"libc":["glibc"]} (current: {"os":"win32","cpu":"x64","libc":"unknown"})
packages/native/npm/linux-arm64-musl     |  WARN  Unsupported platform: wanted: {"cpu":["arm64"],"os":["linux"],"libc":["musl"]} (current: {"os":"win32","cpu":"x64","libc":"unknown"})
packages/native/npm/linux-x64-gnu        |  WARN  Unsupported platform: wanted: {"cpu":["x64"],"os":["linux"],"libc":["glibc"]} (current: {"os":"win32","cpu":"x64","libc":"unknown"})
packages/native/npm/linux-x64-musl       |  WARN  Unsupported platform: wanted: {"cpu":["x64"],"os":["linux"],"libc":["musl"]} (current: {"os":"win32","cpu":"x64","libc":"unknown"})
packages/verter-tsc/npm/darwin-arm64     |  WARN  Unsupported platform: wanted: {"cpu":["arm64"],"os":["darwin"],"libc":["any"]} (current: {"os":"win32","cpu":"x64","libc":"unknown"})
packages/verter-tsc/npm/darwin-x64       |  WARN  Unsupported platform: wanted: {"cpu":["x64"],"os":["darwin"],"libc":["any"]} (current: {"os":"win32","cpu":"x64","libc":"unknown"})
packages/verter-tsc/npm/linux-x64-gnu    |  WARN  Unsupported platform: wanted: {"cpu":["x64"],"os":["linux"],"libc":["glibc"]} (current: {"os":"win32","cpu":"x64","libc":"unknown"})

> @verter/benchmark@0.0.1 bench:meta:ui D:\dev\personal\verter\packages\benchmark
> node --expose-gc --import tsx src/meta-ui-bench.ts "--" "--scenarios=repo_first_pass" "--hard-timeout-ms=60000"

Benchmarking 179 nuxt-ui components from edf9af6e03aeea31d1fb5b8a1b8f2aee7cbbcfa3.
[expected] 141/179 src/runtime/components/prose/Kbd.vue baseline-ready outcome=success latency=2307.01ms
[expected] 142/179 src/runtime/components/prose/Li.vue baseline-ready outcome=success latency=2132.97ms
[expected] 143/179 src/runtime/components/prose/Ol.vue baseline-ready outcome=success latency=2075.72ms
[expected] 144/179 src/runtime/components/prose/P.vue baseline-ready outcome=success latency=2147.25ms
[expected] 145/179 src/runtime/components/prose/Pre.vue baseline-ready outcome=success latency=2393.53ms
[expected] 146/179 src/runtime/components/prose/Prompt.vue baseline-ready outcome=success latency=2380.98ms
[expected] 147/179 src/runtime/components/prose/Script.vue baseline-ready outcome=success latency=545.00ms
[expected] 148/179 src/runtime/components/prose/Steps.vue baseline-ready outcome=success latency=2146.16ms
[expected] 149/179 src/runtime/components/prose/Strong.vue baseline-ready outcome=success latency=2123.43ms
[expected] 150/179 src/runtime/components/prose/Table.vue baseline-ready outcome=success latency=2078.99ms
[expected] 151/179 src/runtime/components/prose/Tabs.vue baseline-ready outcome=success latency=2391.48ms
[expected] 152/179 src/runtime/components/prose/TabsItem.vue baseline-ready outcome=success latency=2101.25ms
[expected] 153/179 src/runtime/components/prose/Tbody.vue baseline-ready outcome=success latency=2129.10ms
[expected] 154/179 src/runtime/components/prose/Td.vue baseline-ready outcome=success latency=2143.19ms
[expected] 155/179 src/runtime/components/prose/Th.vue baseline-ready outcome=success latency=2126.46ms
[expected] 156/179 src/runtime/components/prose/Thead.vue baseline-ready outcome=success latency=2108.75ms
[expected] 157/179 src/runtime/components/prose/Tr.vue baseline-ready outcome=success latency=2157.21ms
[expected] 158/179 src/runtime/components/prose/Ul.vue baseline-ready outcome=success latency=2119.65ms
[expected] 159/179 src/runtime/components/RadioGroup.vue baseline-ready outcome=success latency=2181.42ms
[expected] 160/179 src/runtime/components/ScrollArea.vue baseline-ready outcome=success latency=7771.91ms
[expected] 161/179 src/runtime/components/Select.vue baseline-ready outcome=success latency=13913.42ms
[expected] 162/179 src/runtime/components/SelectMenu.vue baseline-ready outcome=success latency=16425.79ms
[expected] 163/179 src/runtime/components/Separator.vue baseline-ready outcome=success latency=2468.26ms
[expected] 164/179 src/runtime/components/Sidebar.vue baseline-ready outcome=success latency=2391.92ms
[expected] 165/179 src/runtime/components/Skeleton.vue baseline-ready outcome=success latency=2295.07ms
[expected] 166/179 src/runtime/components/Slideover.vue baseline-ready outcome=success latency=5404.48ms
[expected] 167/179 src/runtime/components/Slider.vue baseline-ready outcome=success latency=2290.77ms
[expected] 168/179 src/runtime/components/Stepper.vue baseline-ready outcome=success latency=2295.39ms
[expected] 169/179 src/runtime/components/Switch.vue baseline-ready outcome=success latency=2247.97ms
[expected] 170/179 src/runtime/components/Table.vue baseline-ready outcome=success latency=9950.55ms
[expected] 171/179 src/runtime/components/Tabs.vue baseline-ready outcome=success latency=6052.38ms
[expected] 172/179 src/runtime/components/Textarea.vue baseline-ready outcome=success latency=7421.83ms
[expected] 173/179 src/runtime/components/Theme.vue baseline-ready outcome=success latency=525.38ms
[expected] 174/179 src/runtime/components/Timeline.vue baseline-ready outcome=success latency=2320.54ms
[expected] 175/179 src/runtime/components/Toast.vue baseline-ready outcome=success latency=14311.97ms
[expected] 176/179 src/runtime/components/Toaster.vue baseline-ready outcome=success latency=5567.19ms
[expected] 177/179 src/runtime/components/Tooltip.vue baseline-ready outcome=success latency=7696.25ms
[expected] 178/179 src/runtime/components/Tree.vue baseline-ready outcome=success latency=9884.49ms
[expected] 179/179 src/runtime/components/User.vue baseline-ready outcome=success latency=2485.99ms
Running verter / repo_first_pass...
[repeat 1] 1/179 src/runtime/components/Accordion.vue repo_first_pass outcome=success latency=612.48ms
[repeat 1] 2/179 src/runtime/components/Alert.vue repo_first_pass outcome=success latency=169.10ms
[repeat 1] 3/179 src/runtime/components/App.vue repo_first_pass outcome=success latency=149.29ms
[repeat 1] 4/179 src/runtime/components/AuthForm.vue repo_first_pass outcome=success latency=353.46ms
[repeat 1] 5/179 src/runtime/components/Avatar.vue repo_first_pass outcome=success latency=152.97ms
[repeat 1] 6/179 src/runtime/components/AvatarGroup.vue repo_first_pass outcome=success latency=105.13ms
[repeat 1] 7/179 src/runtime/components/Badge.vue repo_first_pass outcome=success latency=172.77ms
[repeat 1] 8/179 src/runtime/components/Banner.vue repo_first_pass outcome=success latency=189.46ms
[repeat 1] 9/179 src/runtime/components/BlogPost.vue repo_first_pass outcome=success latency=241.41ms
[repeat 1] 10/179 src/runtime/components/BlogPosts.vue repo_first_pass outcome=success latency=167.78ms
[repeat 1] 11/179 src/runtime/components/Breadcrumb.vue repo_first_pass outcome=success latency=300.81ms
